Gene,KEGG
Os03g0305500 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os04g0497200 ,"Starch and sucrose metabolism, Metabolic pathways"
Os08g0111200 ,"Other glycan degradation, Sphingolipid metabolism, Metabolic pathways"
Os04g0531900 ,"Monoterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os01g0951100 ,Endocytosis
Os06g0567200 ,"Ascorbate and aldarate metabolism, Metabolic pathways"
Os05g0559400 ,Plant hormone signal transduction
Os10g0573900 ,"Ribosome biogenesis in eukaryotes, RNA transport"
Os10g0442100 ,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os02g0812400 ,RNA transport
Os05g0540100 ,"DNA replication, Base excision repair, Non-homologous end-joining"
Os07g0147550 ,"Photosynthesis, Metabolic pathways"
Os06g0699400 ,MAPK signaling pathway - plant
Os02g0611500 ,RNA transport
Os07g0671500 ,Plant hormone signal transduction
Os03g0438100 ,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0620100 ,RNA transport
Os05g0105900 ,"RNA transport, mRNA surveillance pathway"
Os01g0805000 ,Ribosome
Os03g0340001 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0402400 ,Ribosome
Os01g0192900 ,"Cysteine and methionine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0297000 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0471000 ,Protein processing in endoplasmic reticulum
Os02g0534800 ,Ribosome
Os09g0261300 ,"Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os06g0550000 ,Ribosome
Os06g0254300 ,"Cutin, suberine and wax biosynthesis"
Os02g0255500 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os06g0665800 ,MAPK signaling pathway - plant
Os01g0876500 ,Spliceosome
Os06g0649800 ,Base excision repair
Os12g0182200 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os04g0630900 ,"Flavonoid biosynthesis, Biosynthesis of secondary metabolites"
Os09g0526700 ,"Galactose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os08g0518900 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os11g0158400 ,"Glycerolipid metabolism, Metabolic pathways"
Os03g0379500 ,Ribosome
Os03g0762000 ,"Ribosome biogenesis in eukaryotes, Circadian rhythm - plant"
Os12g0508300 ,Ribosome
Os03g0659200 ,Photosynthesis
Os09g0543100 ,"Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Endocytosis"
Os06g0133900 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os08g0243866 ,Homologous recombination
Os03g0265400 ,Ribosome
Os11g0455800 ,"Glycine, serine and threonine metabolism, Cyanoamino acid metabolism, Glyoxylate and dicarboxylate metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0249400 ,Ribosome
Os10g0464400 ,"Riboflavin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0300700 ,RNA transport
Os01g0160100 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0501200 ,Base excision repair
Os10g0317900 ,"Flavonoid biosynthesis, Flavone and flavonol biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0282300 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0826500 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os05g0361500 ,"Pentose and glucuronate interconversions, Metabolic pathways"
Os03g0214100 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os01g0896700 ,Ribosome
Os08g0431300 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os07g0546000 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0432500 ,Protein processing in endoplasmic reticulum
Os03g0231800 ,"Steroid biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0608550 ,"Valine, leucine and isoleucine biosynthesis, Butanoate metabolism, C5-Branched dibasic acid metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os10g0528900 ,Glutathione metabolism
Os08g0468700 ,Nitrogen metabolism
Os10g0529300 ,Glutathione metabolism
Os01g0549700 ,"RNA transport, mRNA surveillance pathway, Spliceosome"
Os06g0170500 ,Spliceosome
Os08g0503800 ,Metabolic pathways
Os01g0566100 ,Circadian rhythm - plant
Os03g0829000 ,"Tyrosine metabolism, Metabolic pathways"
Os08g0224500 ,Starch and sucrose metabolism
Os02g0689700 ,Ribosome
Os02g0139700 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0707100 ,"Ascorbate and aldarate metabolism, Metabolic pathways"
Os08g0557600 ,"Ascorbate and aldarate metabolism, Metabolic pathways"
Os01g0251100 ,Ribosome
Os05g0496200 ,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os12g0617400 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0172600 ,Ribosome
Os10g0170000 ,RNA transport
Os05g0349700 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0926300 ,"Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os02g0638400 ,Endocytosis
Os11g0643700 ,RNA transport
Os06g0601500 ,Circadian rhythm - plant
Os02g0794600 ,"Oxidative phosphorylation, Metabolic pathways"
Os04g0671700 ,Pyruvate metabolism
Os08g0374800 ,"Galactose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os02g0709200 ,"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os11g0199200 ,Protein processing in endoplasmic reticulum
Os08g0400200 ,Lysine degradation
Os08g0489300 ,Base excision repair
Os05g0149200 ,"Cysteine and methionine metabolism, Metabolic pathways"
Os09g0531800 ,Amino sugar and nucleotide sugar metabolism
Os12g0138900 ,"Valine, leucine and isoleucine biosynthesis, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os08g0540400 ,Plant-pathogen interaction
Os02g0229000 ,Ribosome
Os10g0419400 ,"Cysteine and methionine metabolism, Metabolic pathways"
Os12g0139300 ,"Brassinosteroid biosynthesis, Biosynthesis of secondary metabolites"
Os02g0796700 ,Autophagy - other
Os06g0726100 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways, MAPK signaling pathway - plant"
Os03g0316900 ,RNA degradation
Os11g0497000 ,Ubiquitin mediated proteolysis
Os03g0788500 ,Plant-pathogen interaction
Os10g0489200 ,"DNA replication, Base excision repair, Nucleotide excision repair, Mismatch repair"
Os12g0235800 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os07g0665200 ,Peroxisome
Os06g0210200 ,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os01g0667200 ,Sulfur metabolism
Os04g0691900 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome"
Os01g0911200 ,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum"
Os02g0178400 ,"Protein export, Protein processing in endoplasmic reticulum, Phagosome"
Os05g0519500 ,Ribosome biogenesis in eukaryotes
Os04g0544100 ,Lysine degradation
Os01g0791033 ,"Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os01g0869800 ,"Photosynthesis, Metabolic pathways"
Os06g0326400 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0659900 ,mRNA surveillance pathway
Os06g0194900 ,"Starch and sucrose metabolism, Metabolic pathways"
Os02g0126700 ,Spliceosome
Os03g0833700 ,Ribosome biogenesis in eukaryotes
Os04g0676300 ,"Pyrimidine metabolism, Metabolic pathways"
Os11g0184100 ,"Brassinosteroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0640600 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os02g0143100 ,Starch and sucrose metabolism
Os01g0834500 ,Ribosome
Os08g0109100 ,"Inositol phosphate metabolism, Metabolic pathways"
Os11g0168100 ,SNARE interactions in vesicular transport
Os06g0607800 ,Proteasome
Os06g0598800 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0337900 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Glycine, serine and threonine metabolism, Valine, leucine and isoleucine degradation, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os07g0632000 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os01g0720400 ,"Glycerophospholipid metabolism, Metabolic pathways"
Os05g0135800 ,Plant-pathogen interaction
Os12g0124200 ,Ribosome
Os03g0818100 ,"Glycolysis / Gluconeogenesis, Inositol phosphate metabolism, Metabolic pathways"
Os02g0781600 ,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Os03g0851800 ,"beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0562700 ,"Glutathione metabolism, Metabolic pathways"
Os06g0599200 ,"Diterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os02g0128800 ,Ubiquitin mediated proteolysis
Os03g0704000 ,Ribosome
Os07g0188800 ,"Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Inositol phosphate metabolism, Propanoate metabolism, Metabolic pathways, Carbon metabolism"
Os01g0782200 ,"Sphingolipid metabolism, Metabolic pathways"
Os11g0186200 ,"Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0223400 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Biosynthesis of amino acids"
Os06g0144000 ,Base excision repair
Os04g0477500 ,"N-Glycan biosynthesis, Metabolic pathways"
Os08g0345800 ,"Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0178000 ,"Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0410125 ,Basal transcription factors
Os11g0615100 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os04g0548300 ,Ribosome biogenesis in eukaryotes
Os04g0643100 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os03g0154700 ,Ribosome
Os10g0397400 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0791500 ,"SNARE interactions in vesicular transport, Phagosome"
Os02g0783700 ,"Lysine degradation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0356400 ,ABC transporters
Os12g0133050 ,Ribosome
Os01g0706500 ,Ribosome
Os06g0129700 ,"Fructose and mannose metabolism, Purine metabolism, Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0618250 ,Ribosome biogenesis in eukaryotes
Os01g0505600 ,Plant-pathogen interaction
Os06g0730800 ,Spliceosome
Os03g0225500 ,RNA transport
Os06g0311300 ,Ubiquitin mediated proteolysis
Os05g0557800 ,Ribosome
Os12g0608600 ,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Sulfur relay system"
Os03g0278900 ,"Oxidative phosphorylation, Photosynthesis, Metabolic pathways"
Os04g0661200 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system"
Os03g0139100 ,Ribosome
Os04g0111200 ,"Purine metabolism, Monobactam biosynthesis, Selenocompound metabolism, Sulfur metabolism, Metabolic pathways"
Os05g0435700 ,"Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Fatty acid metabolism"
Os07g0155600 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os06g0147800 ,MAPK signaling pathway - plant
Os02g0785800 ,Ribosome
Os07g0435300 ,"Photosynthesis, Metabolic pathways"
Os08g0250200 ,"Oxidative phosphorylation, Metabolic pathways"
Os08g0566900 ,Peroxisome
Os09g0505300 ,Fatty acid biosynthesis
Os03g0358100 ,"Glutathione metabolism, Arachidonic acid metabolism"
Os05g0243200 ,Ribosome
Os05g0592300 ,"Taurine and hypotaurine metabolism, Metabolic pathways"
Os03g0576700 ,Ribosome
Os10g0442600 ,Protein processing in endoplasmic reticulum
Os01g0593500 ,Ribosome
Os01g0174000 ,Circadian rhythm - plant
Os12g0162500 ,MAPK signaling pathway - plant
Os04g0663300 ,Spliceosome
Os01g0639900 ,Nitrogen metabolism
Os03g0297400 ,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism"
Os06g0699900 ,Proteasome
Os02g0130100 ,Vitamin B6 metabolism
Os10g0574800 ,Endocytosis
Os02g0664100 ,Protein processing in endoplasmic reticulum
Os06g0149900 ,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os01g0874900 ,"Glycine, serine and threonine metabolism, Cyanoamino acid metabolism, Glyoxylate and dicarboxylate metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0821100 ,"Spliceosome, Protein processing in endoplasmic reticulum, Endocytosis"
Os03g0245700 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0340500 ,"Starch and sucrose metabolism, Metabolic pathways"
Os11g0139100 ,Ribosome
Os06g0253100 ,Protein processing in endoplasmic reticulum
Os03g0805100 ,"Steroid biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0262100 ,"RNA transport, mRNA surveillance pathway"
Os09g0401300 ,Plant hormone signal transduction
Os01g0788500 ,Plant-pathogen interaction
Os10g0461100 ,"Photosynthesis, Metabolic pathways"
Os04g0464500 ,Protein processing in endoplasmic reticulum
Os08g0550100 ,Proteasome
Os01g0938100 ,"Photosynthesis, Metabolic pathways"
Os03g0177400 ,RNA transport
Os02g0203000 ,Circadian rhythm - plant
Os04g0588700 ,ABC transporters
Os04g0111225 ,"Purine metabolism, Monobactam biosynthesis, Selenocompound metabolism, Sulfur metabolism, Metabolic pathways"
Os07g0124500 ,RNA transport
Os02g0754700 ,Aminoacyl-tRNA biosynthesis
Os01g0327400 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0684300 ,RNA transport
Os12g0183100 ,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0466600 ,"Arginine and proline metabolism, Metabolic pathways"
Os02g0771100 ,"Ubiquitin mediated proteolysis, Circadian rhythm - plant"
Os05g0405000 ,"Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os03g0799900 ,Protein processing in endoplasmic reticulum
Os01g0904500 ,Other types of O-glycan biosynthesis
Os01g0711600 ,MAPK signaling pathway - plant
Os02g0739100 ,Endocytosis
Os03g0266300 ,Protein processing in endoplasmic reticulum
Os06g0319700 ,Ribosome
Os03g0780600 ,Phagosome
Os05g0529200 ,Fatty acid degradation
Os12g0263600 ,"Biosynthesis of secondary metabolites - unclassified, Biosynthesis of secondary metabolites"
